question,doc_id,unit_id,publish_date,effective_date,answer,id,domain,created_at,doc_type,source,region,role,status
商业银行托管业务监管依据哪些法律法规？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第一条,,,第一条 为促进商业银行托管业务规范健康发展，加强商业银行托管业务监督管理，根据《中华人民共和国民法典》《中华人民共和国银行业监督管理法》《中华人民共和国商业银行法》等法律法规制定本办法。,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_1_0,policy,2025-12-31T14:51:45.895330,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
商业银行托管业务的法律依据和合同依据有哪些？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第二条,,,第二条 本办法所称托管是指商业银行作为独立第三方，按照法律法规规定和托管合同约定，为所托管产品在中华人民共和国境内提供财产保管及相关服务的行为。,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_2_0,policy,2025-12-31T14:51:54.230449,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
银行作为第三方提供托管服务的具体职责是什么？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第二条,,,第二条 本办法所称托管是指商业银行作为独立第三方，按照法律法规规定和托管合同约定，为所托管产品在中华人民共和国境内提供财产保管及相关服务的行为。,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_2_1,policy,2025-12-31T14:51:54.230449,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
境内托管产品财产保管服务由谁来提供？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第二条,,,第二条 本办法所称托管是指商业银行作为独立第三方，按照法律法规规定和托管合同约定，为所托管产品在中华人民共和国境内提供财产保管及相关服务的行为。,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_2_2,policy,2025-12-31T14:51:54.230449,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
商业银行托管服务覆盖哪些相关附加服务？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第二条,,,第二条 本办法所称托管是指商业银行作为独立第三方，按照法律法规规定和托管合同约定，为所托管产品在中华人民共和国境内提供财产保管及相关服务的行为。,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_2_3,policy,2025-12-31T14:51:54.230449,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
托管业务中商业银行的角色定位是什么？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第二条,,,第二条 本办法所称托管是指商业银行作为独立第三方，按照法律法规规定和托管合同约定，为所托管产品在中华人民共和国境内提供财产保管及相关服务的行为。,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_2_4,policy,2025-12-31T14:51:54.230449,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
商业银行托管的产品包括哪些类型？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第三条,,,第三条 商业银行所托管产品，包括各类金融产品、各类专项资金形成的投资组合等。前述金融产品是指各类资产管理产品以及国务院金融管理部门认可的其他金融产品；专项资金是指来,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_3_0,policy,2025-12-31T14:51:59.052862,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
商业银行托管的金融产品具体指哪些？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第三条,,,第三条 商业银行所托管产品，包括各类金融产品、各类专项资金形成的投资组合等。前述金融产品是指各类资产管理产品以及国务院金融管理部门认可的其他金融产品；专项资金是指来,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_3_1,policy,2025-12-31T14:51:59.052862,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
商业银行托管的专项资金是指什么来源的资金？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第三条,,,第三条 商业银行所托管产品，包括各类金融产品、各类专项资金形成的投资组合等。前述金融产品是指各类资产管理产品以及国务院金融管理部门认可的其他金融产品；专项资金是指来,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_3_2,policy,2025-12-31T14:51:59.052862,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
商业银行托管产品财产包括哪些类型资产？,商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896,第四条,,,第四条 商业银行所托管产品持有的财产（以下简称托管产品财产），包括各类银行存款等资金款项、股票、债券、未上市企业股权、其他债权、商品、金融衍生品以及法律法规认可的其他投资品种。,policy_MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896_4_0,policy,2025-12-31T14:52:01.077763,监管政策,MinerU_markdown_商业银行托管业务监督管理办法（试行）_20251230002138_2005675587217616896.md,全国,客户经理,生效
