question,doc_id,unit_id,publish_date,effective_date,answer,id,domain,created_at,doc_type,source,region,role,status
小微企业金融服务监管评价依据什么文件？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第一条,2023-10-01,,"为贯彻落实中央金融工作会议精神和《国务院关于推进普惠金融高质量发展的实施意见》(国发〔2023〕15号)要求,进一步完善小微企业金融服务监管评价制度,推动小微企业金融服务持续健康发展,国家金融监督管理总局制定了《银行业金融机构小微企业金融服务监管评价办法》,现印发给你们,请认真组织实施。",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_1_0,policy,2025-12-31T14:59:04.588893,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
普惠金融高质量发展实施意见是哪个文号？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第一条,2023-10-01,,"为贯彻落实中央金融工作会议精神和《国务院关于推进普惠金融高质量发展的实施意见》(国发〔2023〕15号)要求,进一步完善小微企业金融服务监管评价制度,推动小微企业金融服务持续健康发展,国家金融监督管理总局制定了《银行业金融机构小微企业金融服务监管评价办法》,现印发给你们,请认真组织实施。",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_1_1,policy,2025-12-31T14:59:04.588893,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
小微企业金融服务监管评价办法谁制定的？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第一条,2023-10-01,,"为贯彻落实中央金融工作会议精神和《国务院关于推进普惠金融高质量发展的实施意见》(国发〔2023〕15号)要求,进一步完善小微企业金融服务监管评价制度,推动小微企业金融服务持续健康发展,国家金融监督管理总局制定了《银行业金融机构小微企业金融服务监管评价办法》,现印发给你们,请认真组织实施。",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_1_2,policy,2025-12-31T14:59:04.588893,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
小微企业金融服务监管评价办法发给谁？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第一条,2023-10-01,,"为贯彻落实中央金融工作会议精神和《国务院关于推进普惠金融高质量发展的实施意见》(国发〔2023〕15号)要求,进一步完善小微企业金融服务监管评价制度,推动小微企业金融服务持续健康发展,国家金融监督管理总局制定了《银行业金融机构小微企业金融服务监管评价办法》,现印发给你们,请认真组织实施。",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_1_3,policy,2025-12-31T14:59:04.588893,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
小微企业金融服务监管评价办法怎么实施？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第一条,2023-10-01,,"为贯彻落实中央金融工作会议精神和《国务院关于推进普惠金融高质量发展的实施意见》(国发〔2023〕15号)要求,进一步完善小微企业金融服务监管评价制度,推动小微企业金融服务持续健康发展,国家金融监督管理总局制定了《银行业金融机构小微企业金融服务监管评价办法》,现印发给你们,请认真组织实施。",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_1_4,policy,2025-12-31T14:59:04.588893,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
小微企业金融服务评价主要依据哪些法律法规？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第一条,,,第一条 为科学评价银行业金融机构小微企业金融服务工作开展情况和成效，督促和激励银行业金融机构深入贯彻落实党和国家关于普惠金融发展的战略部署，持续提升服务质效，依据《中华人民共和国银行业监督管理法》《中华人民共和国商业银行法》《中华人民共和国中小企业促进法》《国务院关于推进普惠金融高质量发展的实施意见》，结合国家金融监督管理总局关于推进银行业金融机构小微企业金融服务的监管政策文件，制定本办法。,policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_2_0,policy,2025-12-31T14:59:08.339753,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
小微金融监管评价主要依据什么原则？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第二条,2023-04-01,2023-04-01,"第二条 做好小微企业金融服务是银行业金融机构服务实体经济、实现高质量发展的重要内涵。对银行业金融机构小微企业金融服务工作开展监管评价(以下简称小微金融监管评价),应当坚持以下原则:",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_3_0,policy,2025-12-31T14:59:11.082874,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
小微金融监管评价里定量和定性指标怎么分配分值？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第一条,2023-09-15,2023-10-01,"(一)定量与定性并行。兼顾小微金融监管评价的客观性、全面性和灵活性,以定量指标为重点,突出实效评价,定量指标的总分值高于定性指标。",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_4_0,policy,2025-12-31T14:59:13.889067,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
小微企业贷款总量和结构监管要求有哪些？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第二条_2,2023-09-01,2023-10-01,"(二)总量与结构并重。以监管目标为导向,通过多维度评价,在持续推动小微企业金融服务供给总量稳定增长的同时,引导不同类型的银行业金融机构深入开展差异化竞争,优化服务结构,扩大服务覆盖面。",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_5_0,policy,2025-12-31T14:59:21.026380,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
银行业金融机构如何做差异化竞争？,国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384,第二条_2,2023-09-01,2023-10-01,"(二)总量与结构并重。以监管目标为导向,通过多维度评价,在持续推动小微企业金融服务供给总量稳定增长的同时,引导不同类型的银行业金融机构深入开展差异化竞争,优化服务结构,扩大服务覆盖面。",policy_MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384_5_1,policy,2025-12-31T14:59:21.026380,监管政策,MinerU_markdown_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_20251230002122_2005675519467024384.md,全国,客户经理,生效
