question,doc_id,unit_id,publish_date,effective_date,answer,id,domain,created_at,doc_type,source,region,role,status
新疆担保公司分类监管评级指标有哪些？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2023-10-01,2023-11-01,各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团(控股)公司、保险公司、保险资产管理公司、养老金管理公司：,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_1_0,policy,2025-12-31T15:05:38.053439,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
自治区担保公司评级结果分哪几个等级？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第二条_1,2023-10-01,2023-11-01,各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团(控股)公司、保险公司、保险资产管理公司、养老金管理公司：,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_1_1,policy,2025-12-31T15:05:38.053439,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
融资担保公司年度评级什么时候完成？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第三条,2023-10-01,2023-11-01,各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团(控股)公司、保险公司、保险资产管理公司、养老金管理公司：,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_1_2,policy,2025-12-31T15:05:38.053439,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
担保公司监管评级谁来组织实施？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第四条_1,2023-10-01,2023-11-01,各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团(控股)公司、保险公司、保险资产管理公司、养老金管理公司：,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_1_3,policy,2025-12-31T15:05:38.053439,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
新疆这边担保机构评级要提交哪些材料？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第五条,2023-10-01,2023-11-01,各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团(控股)公司、保险公司、保险资产管理公司、养老金管理公司：,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_1_4,policy,2025-12-31T15:05:38.053439,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
担保公司分类结果影响银行合作吗？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第六条_2,2023-10-01,2023-11-01,各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团(控股)公司、保险公司、保险资产管理公司、养老金管理公司：,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_1_5,policy,2025-12-31T15:05:38.053439,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
融资担保评级A级需要满足什么条件？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第二条_2,2023-10-01,2023-11-01,各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团(控股)公司、保险公司、保险资产管理公司、养老金管理公司：,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_1_6,policy,2025-12-31T15:05:38.053439,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
担保公司出现重大风险怎么调整评级？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第七条,2023-10-01,2023-11-01,各金融监管局，各政策性银行、大型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团(控股)公司、保险公司、保险资产管理公司、养老金管理公司：,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_1_7,policy,2025-12-31T15:05:38.053439,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
数字金融发展实施方案依据哪些国家文件？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2025-03-15,2025-04-01,"为贯彻落实中央经济工作会议、中央金融工作会议精神,按照《关于做好金融“五篇大文章”的指导意见》(国办发〔2025〕8号)和《关于银行业保险业做好“五篇大文章”的指导意见》(金发〔2024〕11号)有关要求,鼓励和引导银行业保险业加快发展数字金融,充分发挥数字技术和数据要素的双轮驱动作用,赋能金融服务提质增效,助力数字经济建设,实现数字金融高质量发展,特制定本实施方案。",policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_2_0,policy,2025-12-31T15:05:40.665173,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
银行保险业数字化转型的指导思想是什么？,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488,第一条,2024-01-15,2024-02-01,以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大和二十届历次全会精神，认真落实中央经济工作会议、中央金融工作会议部署，完整准确全面贯彻新发展理念，加快构建新发展格局，深入推进银行业保险业数字化转型，加快发展新质生产力，推动金融发展方式转变，打造具有中国特色、国际竞争力的数字金融新范式，坚守金融工作的政治性、人民性，更好服务实体经济和满足人民群众美好生活需要，统筹高质量发展和高水平安全，牢牢守住不发生系统性金融风险底线，以银行业保险业数字金融高质量发展助力数字中国和金融强国建设。,policy_MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488_3_0,policy,2025-12-31T15:05:53.389386,监管政策,MinerU_markdown_国家金融监督管理总局办公厅关于印发《银行业保险业数字金融_20251230002117_2005675501435711488.md,全国,客户经理,生效
