question,doc_id,unit_id,publish_date,effective_date,answer,id,domain,created_at,doc_type,source,region,role,status
普惠金融高质量发展实施方案的发布日期是哪天？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第一条,2023-11-01,,# 国家金融监督管理总局办公厅中国人民银行办公厅关于印发《银行业保险业普惠金融高质量发展实施方案》的通知,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_1_0,policy,2025-12-31T15:12:57.629436,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
普惠金融方案里对小微企业贷款增速有什么要求？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第二条_1,2023-11-01,,# 国家金融监督管理总局办公厅中国人民银行办公厅关于印发《银行业保险业普惠金融高质量发展实施方案》的通知,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_1_1,policy,2025-12-31T15:12:57.629436,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
涉农贷款投放目标在新规中是怎么规定的？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第二条_2,2023-11-01,,# 国家金融监督管理总局办公厅中国人民银行办公厅关于印发《银行业保险业普惠金融高质量发展实施方案》的通知,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_1_2,policy,2025-12-31T15:12:57.629436,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
普惠型小微企业贷款不良率容忍度标准是多少？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第三条_1,2023-11-01,,# 国家金融监督管理总局办公厅中国人民银行办公厅关于印发《银行业保险业普惠金融高质量发展实施方案》的通知,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_1_3,policy,2025-12-31T15:12:57.629436,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
银行做普惠金融需要建立哪些专项制度？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第四条_1,2023-11-01,,# 国家金融监督管理总局办公厅中国人民银行办公厅关于印发《银行业保险业普惠金融高质量发展实施方案》的通知,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_1_4,policy,2025-12-31T15:12:57.629436,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
普惠金融考核结果会影响高管薪酬吗？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第五条_1,2023-11-01,,# 国家金融监督管理总局办公厅中国人民银行办公厅关于印发《银行业保险业普惠金融高质量发展实施方案》的通知,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_1_5,policy,2025-12-31T15:12:57.629436,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
普惠金融服务点建设重点覆盖哪些区域？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第六条_1,2023-11-01,,# 国家金融监督管理总局办公厅中国人民银行办公厅关于印发《银行业保险业普惠金融高质量发展实施方案》的通知,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_1_6,policy,2025-12-31T15:12:57.629436,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
数字普惠金融产品创新主要支持哪些方向？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第七条_1,2023-11-01,,# 国家金融监督管理总局办公厅中国人民银行办公厅关于印发《银行业保险业普惠金融高质量发展实施方案》的通知,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_1_7,policy,2025-12-31T15:12:57.629436,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
新疆担保公司评级新规适用哪些机构？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第一条,2023-10-01,2023-11-01,各金融监管局，中国人民银行上海总部，各省、自治区、直辖市及计划单列市分行，各政策性银行、大型银行、股份制银行、外资银行、直销银行，各保险集团（控股）公司、保险公司、保险资产管理公司：,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_2_0,policy,2025-12-31T15:13:10.709213,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
融资担保公司分类监管评级多久评一次？,银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256,第二条_1,2023-10-01,2023-11-01,各金融监管局，中国人民银行上海总部，各省、自治区、直辖市及计划单列市分行，各政策性银行、大型银行、股份制银行、外资银行、直销银行，各保险集团（控股）公司、保险公司、保险资产管理公司：,policy_MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256_2_1,policy,2025-12-31T15:13:10.709213,监管政策,MinerU_markdown_银行业保险业普惠金融高质量发展实施方案_20251230002144_2005675611297120256.md,全国,客户经理,生效
